dataset,model,seeds,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,hamming_mean,hamming_std
blogcatalog,gcn,"[0, 1, 2, 3, 4]",0.12875852632710413,0.0010114310705017717,0.05401865656349836,0.0003993313288371266,0.1704239531675305,0.0017469779859224776
blogcatalog,graphsage,"[0, 1, 2, 3, 4]",0.17178786250427888,0.002658723772033174,0.032847439936236386,0.002121312247544374,0.07752961209093057,0.004912694021410826
blogcatalog,gat,"[0, 1, 2, 3, 4]",0.14567541010265322,0.03476523835929939,0.023543944421191437,0.01144094594402845,0.10842313285357397,0.05256746824386066
ppi,gcn,"[0, 1, 2, 3, 4]",0.07862201811552594,0.0025538536487918016,0.06264663250106355,0.00569363731181471,0.3376083009079118,0.10192802350071764
ppi,graphsage,"[0, 1, 2, 3, 4]",0.11177711965172557,0.0029265092589475477,0.07482256800030225,0.003181867653005535,0.21635278858625165,0.010592689617741475
ppi,gat,"[0, 1, 2, 3, 4]",0.10580505456918535,0.0010095131248389541,0.05909177595177857,0.001670322544421147,0.19087418936446174,0.020475760974118535
wikipedia,gcn,"[0, 1, 2, 3, 4]",0.37529273733019497,0.0007081815547692868,0.017621363186592798,0.0012864253104938744,0.03776673640167364,0.00014921906503856727
wikipedia,graphsage,"[0, 1, 2, 3, 4]",0.38363512496541524,0.0011930361067289123,0.022574832850326805,0.0031308400827446854,0.04023012552301255,0.002154062610984764
wikipedia,gat,"[0, 1, 2, 3, 4]",0.2528246729024353,0.15065463552746883,0.013609104891276577,0.003922378478159509,0.08259414225941424,0.06234975770692247
